concept	aliases	source_examples	target_article	coverage_status	notes
常量缓冲区绑定与更新	cbuffer|register(b0)|WRITE_DISCARD|NO_OVERWRITE	课程记录/图形工程/03-HLSL与图形管线.md；课程记录/图形工程/05-前向渲染与内存对齐.md	知识库/03_Shader编程/Shader语言与数据流.md	已覆盖	包含槽位、CPU 写入、布局和更新频率
Unity 常量缓冲布局	UnityPerMaterial|UnityPerDraw|SRP Batcher	课程记录/图形工程/06-Pass、Material与ShaderLab.md	知识库/03_Shader编程/Shader语言与数据流.md	已覆盖	材质与对象数据布局
图形资源视图	SRV|UAV|RTV|DSV	课程记录/图形学/03-图形API、渲染管线与优化.md	知识库/03_Shader编程/Shader语言与数据流.md	已覆盖	视图、权限和状态转换
Stream Output	Stream Output	课程记录/图形学/03-图形API、渲染管线与优化.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md	已覆盖	管线输出写回 Buffer
Swapchain 与呈现	Swapchain|Present Mode|Screen Tearing	课程记录/图形学/04-帧流程与分析工具.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md	已覆盖	缓冲轮换和呈现队列
显示同步	VSync|VRR|可变刷新率	课程记录/图形学/04-帧流程与分析工具.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md	已覆盖	撕裂、等待和延迟
时域超分输入契约	DLSS|FSR|Reactive Mask	课程记录/Games104/07-现代渲染与后处理.md	知识库/02_GPU与光栅化管线/抗锯齿与时域采样.md	已覆盖	颜色、深度、运动向量和遮罩
多渲染目标	MRT|Multiple Render Targets	课程记录/图形工程/05-前向渲染与内存对齐.md	知识库/13_引擎架构与资源系统/Forward、Deferred与Clustered渲染.md	已覆盖	GBuffer 写入与带宽
RSM 与 LPV	Reflective Shadow Map|RSM|Light Propagation Volume|LPV	课程记录/Games104/26-Lumen、蒙特卡洛与SDF追踪.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md	已覆盖	从光源采样到体素传播
体素 GI 家族	VXGI|SVOGI|体素锥追踪	课程记录/Games104/26-Lumen、蒙特卡洛与SDF追踪.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md	已覆盖	体素表示、追踪和稀疏层级
动态 Probe GI	SDFDDGI|Screen Probe|Clipmap	课程记录/Games104/26-Lumen、蒙特卡洛与SDF追踪.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md	已覆盖	距离场、屏幕 Probe 和大世界更新
方差阴影贴图	Variance Shadow Map|Light Bleeding|EVSM	课程记录/Games104/29-Nanite虚拟几何与虚拟阴影.md	知识库/05_光照阴影与GI/阴影贴图、PCF与PCSS.md	已覆盖	深度矩过滤
虚拟阴影贴图	Virtual Shadow Map|Page Cache	课程记录/Games104/29-Nanite虚拟几何与虚拟阴影.md	知识库/05_光照阴影与GI/阴影贴图、PCF与PCSS.md	已覆盖	分页、缓存和失效
HZB	HZB|Hierarchical Z-Buffer	课程记录/Games104/28-GPU驱动几何与Nanite基础.md	知识库/12_光追与现代渲染/GPU-Driven管线与Nanite.md	已覆盖	Hi-Z 同义词和深度约定
几何页编码与直读	DirectStorage|增量编码|LZ	课程记录/Games104/29-Nanite虚拟几何与虚拟阴影.md	知识库/12_光追与现代渲染/GPU-Driven管线与Nanite.md	已覆盖	压缩、IO、上传和驻留
雾效模型	Linear Fog|Exponential Fog|Height Fog|Volumetric Fog	课程记录/Games104/07-现代渲染与后处理.md	知识库/07_颜色与后处理/Tone Mapping、Bloom与屏幕效果.md	已覆盖	距离、高度和体积雾
渲染硬件接口	RHI|Render Hardware Interface	课程记录/Games104/02-引擎架构分层.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	跨图形 API 抽象边界
反射代码生成	Clang AST|Schema|Accessor|代码生成	课程记录/Games104/14-世界编辑器、插件与反射.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	类型扫描、Schema 和生成产物
编辑器职责分离	WYSIWYG|MVC|MVVM	课程记录/编辑器设计/03-地图编辑器MVP与调试.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	界面、状态和运行结果契约
规则式与脚本式 AI	Script-based AI|Rule-based AI	课程记录/游戏AI/01-AI架构与工程实践.md	知识库/20_游戏AI/行为树、效用与规划.md	已覆盖	确定演出和条件规则
BDI	BDI|Belief|Desire|Intention	课程记录/游戏AI/01-AI架构与工程实践.md	知识库/20_游戏AI/行为树、效用与规划.md	已覆盖	信念、目标和持续意图
AI 节点设计模式	Template Method|Decorator	课程记录/游戏AI/02-AI架构与核心模式.md	知识库/20_游戏AI/行为树、效用与规划.md	已覆盖	节点生命周期与组合
UCB、UCT 与 PUCT	UCB|UCT|PUCT	课程记录/Games104/18-HTN、GOAP与MCTS.md	知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	搜索中的探索利用平衡
神经网络结构	MLP|CNN|RNN|LSTM	课程记录/Games104/19-机器学习与强化学习AI.md	知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	状态、空间和时序输入
学习方式	监督学习|模仿学习|强化学习	课程记录/Games104/19-机器学习与强化学习AI.md	知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	数据来源和优化目标边界
游戏 AI 训练案例	AlphaGo|AlphaZero|AlphaStar	课程记录/Games104/19-机器学习与强化学习AI.md	知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	模型、搜索与训练分布
网络分层	OSI|TCP/IP	课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	协议职责和游戏关注边界
IPv4 与端口	IPv4|端口|NAT	课程记录/游戏网络/01-局域网与Mirror.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	端点与可达性
ARQ 与滑动窗口	ARQ|Sliding Window|Stop-and-Wait	课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	确认、窗口和重传
KCP	KCP	课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	可靠 UDP 实例
